referencia;variante;descricao;preco_unitario;porcentagem_imposto;pagina
LM966;;BALLOON LED 8W 4000K 127/220V;12.50;6.50;36
LM182;;BALLOON LED 8W 6000K 127/220V;12.50;6.50;36
LM1446;;LED 11W 2700K 127/220V;15.40;6.50;36
LM1447;;LED 11W 4000K 127/220V;15.40;6.50;36
LM1448;;LED 11W 6000K 127/220V;15.40;6.50;36
LM083;;LED 14W 2700K 127V/220V;20.60;6.50;36
LM967;;LED 14W 4000K 127V/220V;20.60;6.50;36
LM084;;LED 14W 6000K 127V/220V;20.60;6.50;36
LM165;;LED 10W 2700K 127/220V;25.05;6.50;36
LM1406;;LED 9W 4000K 127/220V;25.05;6.50;36
LM166;;LED 10W 6000K 127V/220V;25.05;6.50;36
LM517;;LED FILAMENTO 2,5W 2700K 127V;8.80;6.50;36
LM518;;LED FILAMENTO 2,5W 2700K 220V;8.80;6.50;36
LM665;;LED FILAMENTO E27 4W 2700K 127/220V;11.90;6.50;36
LM668;;LED FILAMENTO E27 4W 127/220V 2700K;13.80;6.50;37
LM1092;;LED FILAMENTO CRISTAL E27 4W 2700K 127/220V;9.25;6.50;37
LM903;;LED FILAMENTO E14 4W 2700K 127/220V;10.90;6.50;37
LM901;;BALLOON LED FILAMENTO E27 4W 127-220V 2700K;15.85;6.50;37
LM902;;LED FILAMENTO E27 4W 127-220V 2700K;18.55;6.50;37
LM954;;LED FILAMENTO E27 2W, AMBAR, 127/220V;8.30;6.50;37
LM557;;LED FILAMENTO 4W AMBAR 127V/220V;10.90;6.50;37
LM858;;LED FILAMENTO 6W AMBAR 127V DIMERIZAVEL;15.30;6.50;37
LM556;;LED FILAMENTO E14+E27 2W AMBAR 127/220V;12.15;6.50;37
LM559;;BALLOON LED FILAMENTO 4W AMBAR 127/220V;13.80;6.50;37
LM560;;LED FILAMENTO 4W AMBAR 127/220V;18.90;6.50;37
LM558;;LED FILAMENTO 4W AMBAR 127V/220V;11.95;6.50;37
LM1062;;LED FILAMENTO DEFLETORA DOURADA 4W LUZ AMBAR 127/220V E27;15.10;6.50;37
LM1063;;LED FILAMENTO DEFLETORA ROSE 4W LUZ AMBAR 127/220V E27;16.55;6.50;37
LM1064;;LED FILAMENTO DEFLETORA CROMADA 4W LUZ AMBAR 127/220V E27;19.75;6.50;37
LM1065;;LED FILAMENTO DEFLETORA DOURADA 4W LUZ AMBAR 127/220V E27;17.45;6.50;37
LM1067;;LED FILAMENTO FUME 4W LUZ AMBAR 127/220V E27;16.15;6.50;37
LM1085;;LED FLINT FILAMENTO 4W CORPO FUMÊ LUZ ÂMBAR 127/220V;59.35;6.50;37
LM1086;;LED LAB FILAMENTO 8W CORPO ÂMBAR LUZ ÂMBAR 127/220V;59.25;6.50;37
LM583;;LED 9W 3000K 127V/220V;3.10;6.50;37
LM571;;LED 9W 4000K 127V/220V;3.10;6.50;37
LM584;;LED 9W 6500K 127V/220V;3.10;6.50;37
LM391;;LED A60 12W 3000K 127V/220V;3.85;6.50;37
LM887;;LED A60 12W 4000K 127V/220V;3.85;6.50;37
LM743;;LED A60 E27 12W 6500K 127/220V;3.85;6.50;37
LM786;;LED 15W 3000K 127/220V;4.30;6.50;37
LM758;;LED 15W 4000K 127-220V E27;4.30;6.50;37
LM744;;LED A60 E27 15W 6500K 127-220V;4.30;6.50;37
LM1402;;LED 9W 4000K 220V - DIMERIZAVEL;13.05;6.50;37
LM256;;LED 10W 2700K 127V - DIMERIZAVEL;13.05;6.50;37
LM257;;LED 10W 6000K 127V - DIMERIZAVEL;13.05;6.50;37
LM258;;LED 10W 2700K 220V - DIMERIZAVEL;13.05;6.50;37
LM259;;LED 10W 6000K 220V - DIMERIZAVEL;13.05;6.50;37
LM210;;LED 10W VERMELHA 127V/220V;9.20;6.50;37
LM211;;LED 10W VERDE 127V/220V;9.20;6.50;37
LM212;;LED 10W AZUL 127V/220V;9.20;6.50;37
LM755;;LED 10W ROSA 127V/220V;9.20;6.50;37
LM213;;LED 10W AMBAR 127V/220V;9.20;6.50;37
LM340;;LED 3,5W 127V/220V RGB - COM CONTROLE REMOTO;31.99;6.50;37
LM778;;LED HIGH POWER 20W 6500K 127-220V E27;4.85;6.50;37
LM782;;LED HIGH POWER 30W 6500K 127-220V E27;7.99;6.50;37
LM677;;POWER LED E27 42W 127/220V 6500K;11.40;6.50;38
LM785;;LED HIGH POWER 50W 6500K 127-220V E27;13.55;6.50;38
LM1235;;POWER LED 70W 6500K 127/220V;36.55;6.50;38
LM2554;;POWER LED 100W 6500K 127/220V;48.80;6.50;38
LM3474;;PARA LÂMPADA BUCAL E27 (CX25);34.50;9.75;38
LM1264;;PARA LÂMPADA BUCAL GU10 (CX 1000 PCS);1225.35;9.75;38
LM708;;LED G5 10W 3000K 127V/220V;12.75;6.50;38
LM1031;;LED G5 10W 4000K 127-220V;12.75;6.50;38
LM709;;LED G5 10W 6500K 127/220V;12.75;6.50;38
LM710;;LED G5 20W 3000K 127/220V;16.60;6.50;38
LM711;;LED G5 20W 4000K 127/220V;16.60;6.50;38
