referencia;variante;descricao;detalhes;preco_unitario;porcentagem_imposto;pagina
6576;;Pendente Eclisse In GG;"Largura: 80cm | Altura: 60cm | Profundidade: 80cm
Base: G-9 04 -Lâmpadas Halopin
Material: Alumínio (Cabo energizado)
Cores: Sólidas, Automotivas e Especiais";1063.77;16.60;5
6577;;Pendente Eclisse Duo GG;"Largura: 80cm | Altura: 70cm | Profundidade: 80cm
Base: G-9 06 -Lâmpadas Halopin
Material: Alumínio (Cabo energizado)
Cores: Sólidas, Automotivas e Especiais";1281.50;16.60;6
6602;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Form;"Largura: 22cm| Altura: 50cm| Profundidade: 4,5cm
Fita de Led: 6,3W | 3.000K ou 4.000K | 630 lm | 127V ou 220V
Material: Alumínio e Pedra
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1049.07;16.60;6
6602;Bronze Armani;Arandela Bolle Rock Form;"Largura: 22cm| Altura: 50cm| Profundidade: 4,5cm
Fita de Led: 6,3W | 3.000K ou 4.000K | 630 lm | 127V ou 220V
Material: Alumínio e Pedra
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1224.12;16.60;6
6603;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Organic;"Largura: 28,5cm| Altura: 40cm| Profundidade: 4,5cm
Fita de Led: 6,3W | 3.000K ou 4.000K | 630 lm | 127V ou 220V
Material: Alumínio e Pedra
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1038.61;16.60;6
6603;Bronze Armani;Arandela Bolle Rock Organic;"Largura: 28,5cm| Altura: 40cm| Profundidade: 4,5cm
Fita de Led: 6,3W | 3.000K ou 4.000K | 630 lm | 127V ou 220V
Material: Alumínio e Pedra
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1213.52;16.60;6
6605;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock P;"Largura: 25cm| Altura: 25cm| Profundidade: 4,5cm
Fita de Led: 6,3W | 3.000K ou 4.000K | 630 lm | 127V ou 220V
Material: Alumínio e Pedra
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";465.59;16.60;6
6605;Bronze Armani;Arandela Bolle Rock P;"Largura: 25cm| Altura: 25cm| Profundidade: 4,5cm
Fita de Led: 6,3W | 3.000K ou 4.000K | 630 lm | 127V ou 220V
Material: Alumínio e Pedra
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";597.41;16.60;6
6606;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock M;"Largura: 35cm| Altura: 35cm| Profundidade: 4,5cm
Fita de Led: 9,1W | 3.000K ou 4.000K | 910 lm | 127V ou 220V
Material: Alumínio e Pedra
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";843.46;16.60;6
6606;Bronze Armani;Arandela Bolle Rock M;"Largura: 35cm| Altura: 35cm| Profundidade: 4,5cm
Fita de Led: 9,1W | 3.000K ou 4.000K | 910 lm | 127V ou 220V
Material: Alumínio e Pedra
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1106.75;16.60;6
6607;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock G;"Largura: 40cm| Altura: 40cm| Profundidade: 4,5cm
Fita de Led: 9,1W | 3.000K ou 4.000K | 910 lm | 127V ou 220V
Material: Alumínio e Pedra
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";975.90;16.60;6
6607;Bronze Armani;Arandela Bolle Rock G;"Largura: 40cm| Altura: 40cm| Profundidade: 4,5cm
Fita de Led: 9,1W | 3.000K ou 4.000K | 910 lm | 127V ou 220V
Material: Alumínio e Pedra
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1321.27;16.60;6
