referencia;variante;descricao;preco_unitario;porcentagem_imposto;pagina
LM3834;;SPOT HUB LED RECUADO REDONDO 16W 3000K 127/220V PRETO;83.20;9.75;5
LM2635;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA DICROICA MR16, BASE GU10 BRANCO - POT MAX. 10W;19.50;15.00;5
LM2636;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA DICROICA MR16, BASE GU10 PRETO - POT MAX. 10W;19.50;15.00;5
LM2700;;SPOT HUB NO FRAME RECUADO REDONDO PARA LAMPADA DICROICA MR16, BASE GU10 BRANCO - POT MAX. 10W;19.85;15.00;5
LM2701;;SPOT HUB NO FRAME RECUADO REDONDO PARA LAMPADA DICROICA MR16, BASE GU10 PRETO - POT MAX. 10W;19.85;15.00;5
LM2828;;ACESSORIO PINO HUB COM LED INTEGRADO 6W 3000K BRANCO PARA SPOT HUB MICRO BORDA E NO FRAME MR16;24.35;9.75;5
LM2829;;ACESSORIO PINO HUB COM LED INTEGRADO 6W 3000K PRETO PARA SPOT HUB MICRO BORDA E NO FRAME MR16;24.35;9.75;5
LM3625;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMP MINI DICROICA MR11, BASE GU10 BRANCO - POT MAX. 10W;16.10;15.00;5
LM3626;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMP MINI DICROICA MR11, BASE GU10 PRETO - POT MAX. 10W;16.10;15.00;5
LM2639;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA AR70, BASE GU10 BRANCO - POT MAX. 15W;26.60;15.00;5
LM2640;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA AR70, BASE GU10 PRETO - POT MAX. 15W;26.60;15.00;5
LM2637;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA PAR20, BASE E27 BRANCO - POT MAX. 15W;26.60;15.00;5
LM2638;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA PAR20, BASE E27 PRETO - POT MAX. 15W;26.60;15.00;5
LM2641;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA AR111, BASE GU10 BRANCO - POT MAX. 20W;35.90;15.00;5
LM2642;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA AR111, BASE GU10 PRETO - POT MAX. 20W;35.90;15.00;5
LM2643;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA PAR30, BASE E27 BRANCO - POT MAX. 20W;35.90;15.00;5
LM2644;;SPOT HUB MICRO BORDA RECUADO REDONDO PARA LAMPADA PAR30, BASE E27 PRETO - POT MAX. 20W;35.90;15.00;5
LM2702;;SPOT HUB NO FRAME RECUADO REDONDO PARA LAMPADA AR70, BASE GU10 BRANCO - POT MAX. 15W;25.15;15.00;5
LM2703;;SPOT HUB NO FRAME RECUADO REDONDO PARA LAMPADA AR70, BASE GU10 PRETO - POT MAX. 15W;25.15;15.00;5
LM2704;;SPOT HUB NO FRAME RECUADO REDONDO PARA LAMPADA PAR20, BASE E27 BRANCO - POT MAX. 15W;25.15;15.00;6
LM2705;;SPOT HUB NO FRAME RECUADO REDONDO PARA LAMPADA PAR20, BASE E27 PRETO - POT MAX. 15W;25.15;15.00;6
LM2706;;SPOT HUB NO FRAME RECUADO REDONDO PARA LAMPADA AR111, BASE GU10 BRANCO - POT MAX. 20W;32.90;15.00;6
LM2707;;SPOT HUB NO FRAME RECUADO REDONDO PARA LAMPADA AR111, BASE GU10 PRETO - POT MAX. 20W;32.90;15.00;6
LM2708;;SPOT HUB NO FRAME RECUADO REDONDO PARA LAMPADA PAR30, BASE E27 BRANCO - POT MAX. 20W;32.90;15.00;6
LM2709;;SPOT HUB NO FRAME RECUADO REDONDO PARA LAMPADA PAR30, BASE E27 PRETO - POT MAX. 20W;32.90;15.00;6
LM3627;;SPOT HUB MICRO BORDA RECUADO QUADRADO PARA LAMP MINI DICROICA MR11, BASE GU10 BRANCO - POT MAX. 10W;17.35;15.00;6
LM3628;;SPOT HUB MICRO BORDA RECUADO QUADRADO PARA LAMP MINI DICROICA MR11, BASE GU10 PRETO - POT MAX. 10W;17.35;15.00;6
LM3329;;SPOT HUB MICRO BORDA RECUADO QUADRADO PARA LAMPADA DICR MR16, BASE GU10 BRANCO - POT MAX. 10W;22.45;15.00;6
LM3330;;SPOT HUB MICRO BORDA RECUADO QUADRADO PARA LAMPADA DICR MR16, BASE GU10 PRETO - POT MAX. 10W;22.45;15.00;6
LM3333;;SPOT HUB MICRO BORDA RECUADO QUADRADO PARA LAMPADA AR70, BASE GU10 BRANCO - POT MAX. 15W;30.55;15.00;6
LM3334;;SPOT HUB MICRO BORDA RECUADO QUADRADO PARA LAMPADA AR70, BASE GU10 PRETO - POT MAX. 15W;29.60;15.00;6
LM3331;;SPOT HUB MICRO BORDA RECUADO QUADRADO PARA LAMPADA PAR20, BASE E27 BRANCO - POT MAX. 15W;29.60;15.00;6
LM3332;;SPOT HUB MICRO BORDA RECUADO QUADRADO PARA LAMPADA PAR20, BASE E27 PRETO - POT MAX. 15W;29.60;15.00;6
LM3335;;SPOT HUB MICRO BORDA RECUADO QUADRADO PARA LAMPADA AR111, BASE GU10 BRANCO - POT MAX. 20W;46.50;15.00;6
LM3336;;SPOT HUB MICRO BORDA RECUADO QUADRADO PARA LAMPADA AR111, BASE GU10 PRETO - POT MAX. 20W;46.50;15.00;6
