referencia;variante;descricao;detalhes;preco_unitario;porcentagem_imposto;pagina
BRANCH-80-PL;;PLAFON RED. 80CM - 08 LAMP. E14 - (GALHO);;4065.75;9.75;22
BRANCH-100-PL;;PLAFON RED. 100CM - 10 LAMP. E14 - (GALHO);;5553.82;9.75;22
BRANCH-ARA50;;ARANDELA 50CM - 03 LAMP. G9 - ARANDELA - (GALHO);;992.92;9.75;23
BRANCH-ARA50-AC;;ARANDELA 50CM - 03 LAMP. G9 - ARANDELA - (GALHO) - AGATA CRISTAL;;1299.13;9.75;23
BRANCH-ARA50-AZ;;ARANDELA 50CM - 03 LAMP. G9 - ARANDELA - (GALHO) - AGATA AZUL;;1299.13;9.75;23
INFINITO-300-2;;LUSTRE 45CM X 1,5M - DUPLO ESPIRAL ALEAT. - 3000K - 150W - 2M DE CABO - LINHA INFINITO;;7412.09;9.75;24
INFINITO-300;;LUSTRE 45CM X 1,5M - ESPIRAL ALEAT. - 3000K - 75W - 2M DE CABO - LINHA BALLET;;3519.12;9.75;24
STREAMER-600-2;;LUSTRE 90CM X 2,5M - DUPLO ESPIRAL ALEAT. - 3000K - 300W - 3,5M PENDENTE - LINHA STREAMER;ATÉ 2M DE CABO NÃO ALTERA VALOR;14053.66;9.75;24
STREAMER-600;;LUSTRE 90CM X 2,5M - ESPIRAL ALEAT. - 3000K - 150W - PENDENTE - LINHA BALLET UNO - ALT 3,5M;;7779.70;9.75;24
EROS-600-C;;LUSTRE 150 X 100 X 30CM - 3000K - 150W - PENDENTE ( 1,5M ALT. ) - LINHA EROS;;7926.37;9.75;24
ALORG-100-1-SL;;ALIANÇA ORG. ALIANÇAS Ø100 CM - 3000K - 41W (1,50M DE ALTURA) SLIM;;2235.06;9.75;25
ALORG-100-2-SL;;ALIANÇA ORG. DUAS ALIANÇAS ( Ø100 / 80CM ) - 3000K - 72W (1,50M DE ALTURA) SLIM;;3745.93;9.75;25
ALORG-100-3-SL;;ALIANÇA ORG. TRES ALIANÇAS ( Ø100 / 80 / 60CM ) - 3000K - 95W (1,50M DE ALTURA) SLIM;;5006.82;9.75;25
ALORG-60-1-SL;;ALIANÇA ORG. ALIANÇA Ø60CM - 3000K - 23W (1,50M DE ALTURA) SLIM;;1352.80;9.75;25
ALORG-80-1-SL;;ALIANÇA ORG. ALIANÇA Ø80CM - 3000K - 31W (1,50M DE ALTURA) SLIM;;1683.65;9.75;25
ALORG-80-2-SL;;ALIANÇA ORG. DUAS ALIANÇAS ( Ø80 / 60CM ) - 3000K - 54W (1,50M DE ALTURA) SLIM;;2859.99;9.75;25
ALQU-50-1;;ALIANÇA QUADR. 50CM - 3000K - 29W (1,20M DE ALTURA);ATÉ 2M DE CABO NÃO ALTERA VALOR;1551.31;9.75;25
ALQU-50-2;;ALIANÇA QUADR. DUAS ALIANÇAS ( 50 / 30CM ) 3000K - 46W (1,20M DE ALTURA);;2337.99;9.75;25
ALQU-60-1;;ALIANÇA QUADR. 60CM - 3000K - 35W (1,20M DE ALTURA);;1852.75;9.75;25
ALQU-60-2;;ALIANÇA QUADR. DUAS ALIANÇAS ( 60 / 40CM ) 3000K - 58W (1,20M DE ALTURA);;2859.99;9.75;25
ALQU-70-1;;ALIANÇA QUADR. 70CM - 3000K - 40W (1,50M DE ALTURA);;2088.01;9.75;25
ALQU-70-2;;ALIANÇA QUADR. DUAS ALIANÇAS ( 70 / 50CM ) 3000K - 69W (1,50M DE ALTURA);;3249.66;9.75;25
ALQU-70-3;;ALIANÇA QUADR. TRES ALIANÇAS ( 70 / 50 / 30CM ) 3000K - 86W (1,50M DE ALTURA);;4150.30;9.75;25
ALQU-80-1;;ALIANÇA QUADR. 80CM - 3000K - 46W (1,50M DE ALTURA);;2334.31;9.75;25
ALQU-80-2;;ALIANÇA QUADR. DUAS ALIANÇAS ( 80 / 60CM ) 3000K - 81W (1,50M DE ALTURA);;4014.28;9.75;25
ALQU-80-3;;ALIANÇA QUADR. TRES ALIANÇAS ( 80 / 60 / 40CM ) 3000K - 104W (1,50M DE ALTURA);;5014.18;9.75;25
ALR-50-2;;ALIANÇA RED - DUAS ALIANÇAS ( Ø50/30CM ) - 3000K - 31W (1,20M DE ALTURA);;1999.79;9.75;26
ALR-60-1;;ALIANÇA RED. Ø60 CM - 3000K - 23W (1,20M DE ALTURA);;1599.10;9.75;26
